2019-10-21 10:30:43,863 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - Starting ISearchTaskApplicationTests on DESKTOP-3ADLK5U with PID 15832 (started by Admin in C:\Users\Admin\IdeaProjects\iSearch\asianwallet-task)
2019-10-21 10:30:43,934 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - The following profiles are active: local
2019-10-21 10:30:53,194 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[192.168.124.7:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-10-21 10:30:53,372 [cluster-ClusterId{value='5dad185da1a42f3dd8509c87', description='null'}-192.168.124.7:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:28}] to 192.168.124.7:27017
2019-10-21 10:30:53,421 [cluster-ClusterId{value='5dad185da1a42f3dd8509c87', description='null'}-192.168.124.7:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=192.168.124.7:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 0]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=44984800}
2019-10-21 10:30:58,492 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - Started ISearchTaskApplicationTests in 15.529 seconds (JVM running for 19.755)
2019-10-21 10:30:58,497 [main] INFO  com.asianwallets.common.config.ConfigConstantConfguration - >>>>>>>>>>>>>>>项目名称【asianwallet-task】，端口号【-1】，项目配置加载完成 <<<<<<<<<<<<<
2019-10-21 10:30:59,171 [main] INFO  com.asianwallets.task.service.huxiu.impl.HuXiuServiceImpl - ==========【虎嗅网】==========【开始爬取数据】
2019-10-21 10:30:59,768 [main] INFO  com.asianwallets.task.service.huxiu.impl.HuXiuServiceImpl - ==========【虎嗅网】==========【数据为空】
2019-10-21 11:12:23,321 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - Starting ISearchTaskApplicationTests on DESKTOP-3ADLK5U with PID 16580 (started by Admin in C:\Users\Admin\IdeaProjects\iSearch\asianwallet-task)
2019-10-21 11:12:23,329 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - The following profiles are active: local
2019-10-21 11:12:32,090 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[192.168.124.7:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-10-21 11:12:32,288 [cluster-ClusterId{value='5dad2220a1a42f40c49d0378', description='null'}-192.168.124.7:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:75}] to 192.168.124.7:27017
2019-10-21 11:12:32,330 [cluster-ClusterId{value='5dad2220a1a42f40c49d0378', description='null'}-192.168.124.7:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=192.168.124.7:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 0]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=37607400}
2019-10-21 11:12:37,729 [main] INFO  com.asianwallets.task.ISearchTaskApplicationTests - Started ISearchTaskApplicationTests in 15.642 seconds (JVM running for 18.042)
2019-10-21 11:12:37,734 [main] INFO  com.asianwallets.common.config.ConfigConstantConfguration - >>>>>>>>>>>>>>>项目名称【asianwallet-task】，端口号【-1】，项目配置加载完成 <<<<<<<<<<<<<
2019-10-21 11:12:38,445 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:76}] to 192.168.124.7:27017
2019-10-21 11:12:38,535 [main] INFO  com.asianwallets.task.service.xueqiu.impl.XueqiuServiceImpl - ============= 抓取雪球 ============ ,前次最后一条记录为：【2019-10-18 17:39:59】
